S10000,A0,B3,C1,D1
S10001,A2,B2,C3,D3
S10002,A2,B1,C0,D0
S10003,A2,B1,C2,D0
S10004,A2,B2,C0,D1
S10005,A0,B3,C2,D2
S10006,A3,B3,C3,D2
S10007,A2,B3,C0,D3
S10008,A1,B3,C3,D3
S10009,A2,B1,C2,D0
S100010,A2,B0,C2,D1
S100011,A1,B0,C3,D1
S100012,A1,B1,C0,D2
S100013,A1,B2,C1,D3
S100014,A1,B2,C1,D3
S100015,A2,B0,C2,D0
S100016,A2,B2,C3,D0
S100017,A1,B2,C0,D1
S100018,A0,B1,C1,D2
S100019,A1,B0,C2,D3
S100020,A1,B1,C0,D0
S100021,A1,B3,C1,D1
S100022,A0,B3,C3,D1
S100023,A0,B1,C0,D1
S100024,A1,B1,C3,D2
S100025,A3,B0,C2,D3
S100026,A0,B3,C0,D0
S100027,A0,B3,C3,D0
S100028,A2,B1,C1,D0
S100029,A0,B0,C3,D1
S100030,A3,B1,C1,D2
S100031,A0,B2,C3,D3
S100032,A3,B2,C0,D0
S100033,A1,B0,C0,D1
S100034,A2,B0,C3,D1
S100035,A2,B0,C3,D2
S100036,A0,B1,C0,D3
S100037,A2,B1,C1,D2
S100038,A2,B3,C3,D0
S100039,A3,B3,C0,D2
S100040,A2,B3,C3,D3
S100041,A1,B0,C0,D3
S100042,A2,B1,C1,D0
S100043,A2,B1,C2,D0
S100044,A1,B2,C0,D1
S100045,A2,B3,C1,D1
S100046,A1,B0,C2,D2
S100047,A0,B0,C0,D2
S100048,A0,B0,C3,D3
S100049,A1,B1,C0,D3
S100050,A0,B0,C1,D0
S100051,A2,B2,C2,D1
S100052,A3,B3,C3,D3
S100053,A3,B0,C3,D0
S100054,A0,B0,C0,D0
S100055,A3,B3,C0,D1
S100056,A2,B1,C3,D2
S100057,A2,B1,C2,D3
S100058,A3,B0,C3,D3
S100059,A2,B3,C1,D3
S100060,A0,B3,C1,D0
S100061,A3,B3,C3,D1
S100062,A3,B1,C1,D2
S100063,A2,B1,C2,D3
S100064,A1,B2,C3,D0
S100065,A2,B3,C2,D1
S100066,A2,B2,C2,D2
S100067,A1,B0,C1,D2
S100068,A3,B0,C0,D3
S100069,A2,B2,C2,D3
S100070,A2,B2,C3,D0
S100071,A3,B1,C0,D1
S100072,A1,B1,C2,D1
S100073,A2,B1,C2,D2
S100074,A2,B3,C0,D3
S100075,A0,B1,C1,D3
S100076,A1,B3,C3,D3
S100077,A1,B0,C1,D0
S100078,A0,B3,C0,D1
S100079,A0,B3,C0,D1
S100080,A0,B2,C2,D2
S100081,A3,B1,C3,D3
S100082,A1,B0,C3,D3
S100083,A0,B0,C2,D3
S100084,A1,B0,C3,D0
S100085,A0,B1,C2,D1
S100086,A0,B0,C0,D2
S100087,A0,B2,C3,D1
S100088,A0,B3,C2,D3
S100089,A3,B2,C3,D3
S100090,A2,B0,C0,D0
S100091,A3,B0,C1,D0
S100092,A2,B3,C0,D1
S100093,A1,B3,C2,D2
S100094,A3,B1,C3,D2
S100095,A2,B1,C1,D2
S100096,A0,B1,C1,D3
S100097,A2,B3,C3,D0
S100098,A1,B3,C0,D0
S100099,A3,B1,C2,D1
S1000100,A2,B0,C1,D2
S1000101,A1,B0,C2,D2
S1000102,A1,B3,C0,D3
S1000103,A1,B0,C3,D3
S1000104,A1,B0,C3,D1
S1000105,A1,B0,C2,D3
S1000106,A0,B1,C2,D3
S1000107,A3,B0,C0,D3
S1000108,A0,B3,C0,D3
S1000109,A0,B1,C3,D2
S1000110,A2,B1,C1,D3
S1000111,A3,B3,C0,D3
S1000112,A2,B3,C3,D3
S1000113,A0,B1,C3,D3
S1000114,A3,B1,C0,D3
S1000115,A3,B3,C2,D2
S1000116,A3,B3,C2,D0
S1000117,A0,B2,C3,D1
S1000118,A3,B2,C0,D0
S1000119,A3,B0,C3,D3
S1000120,A2,B0,C2,D3
S1000121,A2,B0,C1,D2
S1000122,A2,B2,C3,D3
S1000123,A1,B0,C2,D3
S1000124,A2,B2,C2,D3
S1000125,A2,B3,C0,D3
S1000126,A3,B2,C2,D3
S1000127,A2,B3,C3,D3
S1000128,A3,B2,C2,D0
S1000129,A2,B2,C3,D0
S1000130,A1,B3,C2,D0
S1000131,A1,B3,C1,D1
S1000132,A1,B3,C3,D0
S1000133,A1,B1,C0,D1
S1000134,A0,B2,C1,D2
S1000135,A0,B2,C1,D2
S1000136,A0,B2,C0,D3
S1000137,A3,B2,C3,D3
S1000138,A1,B2,C3,D0
S1000139,A0,B2,C2,D0
S1000140,A0,B1,C1,D3
S1000141,A0,B2,C0,D3
S1000142,A0,B3,C2,D0
