O10000,X0,Y2
O10001,X1,Y2
O10002,X2,Y3
O10003,X1,Y1
O10004,X3,Y1
O10005,X0,Y3
O10006,X0,Y3
O10007,X3,Y1
O10008,X1,Y2
O10009,X3,Y1
O100010,X3,Y0
O100011,X2,Y2
O100012,X3,Y2
O100013,X3,Y0
O100014,X1,Y0
O100015,X2,Y0
O100016,X3,Y1
O100017,X3,Y3
O100018,X1,Y1
O100019,X1,Y3
O100020,X1,Y1
O100021,X2,Y2
O100022,X0,Y2
O100023,X1,Y2
O100024,X1,Y0
O100025,X3,Y0
O100026,X0,Y2
O100027,X1,Y1
O100028,X3,Y1
O100029,X0,Y3
O100030,X2,Y0
O100031,X3,Y1
O100032,X0,Y3
O100033,X3,Y1
O100034,X3,Y1
O100035,X2,Y2
O100036,X3,Y1
O100037,X0,Y0
O100038,X2,Y2
O100039,X1,Y0
O100040,X0,Y2
O100041,X1,Y2
O100042,X2,Y3
O100043,X0,Y1
O100044,X1,Y1
O100045,X2,Y3
O100046,X3,Y0
O100047,X3,Y3
O100048,X0,Y0
O100049,X3,Y3
O100050,X3,Y2
O100051,X0,Y2
O100052,X0,Y2
O100053,X0,Y0
O100054,X0,Y0
O100055,X0,Y1
O100056,X1,Y0
O100057,X1,Y1
O100058,X2,Y1
O100059,X2,Y1
O100060,X2,Y3
O100061,X2,Y1
O100062,X2,Y1
O100063,X2,Y1
O100064,X2,Y2
O100065,X0,Y3
O100066,X0,Y0
O100067,X0,Y2
O100068,X0,Y2
O100069,X0,Y0
O100070,X0,Y3
O100071,X0,Y3
O100072,X0,Y1
O100073,X1,Y3
O100074,X1,Y1
O100075,X1,Y0
O100076,X1,Y3
O100077,X3,Y0
O100078,X3,Y3
O100079,X2,Y0
O100080,X3,Y2
O100081,X3,Y0
O100082,X3,Y2
O100083,X3,Y2
O100084,X3,Y0
O100085,X3,Y1
O100086,X3,Y0
O100087,X3,Y0
O100088,X3,Y1
O100089,X1,Y3
O100090,X1,Y1
O100091,X1,Y3
O100092,X1,Y1
O100093,X1,Y2
O100094,X1,Y2
O100095,X1,Y2
O100096,X1,Y2
O100097,X1,Y0
O100098,X1,Y0
O100099,X0,Y0
O1000100,X3,Y3
O1000101,X3,Y2
O1000102,X0,Y0
O1000103,X0,Y3
O1000104,X1,Y1
O1000105,X2,Y1
O1000106,X2,Y3
O1000107,X2,Y0
O1000108,X2,Y2
O1000109,X3,Y2
O1000110,X3,Y2
O1000111,X3,Y1
O1000112,X2,Y0
O1000113,X2,Y2
O1000114,X2,Y1
O1000115,X1,Y2
O1000116,X1,Y1
O1000117,X1,Y1
O1000118,X1,Y0
O1000119,X1,Y1
O1000120,X1,Y3
O1000121,X2,Y1
O1000122,X0,Y3
O1000123,X0,Y3
O1000124,X0,Y3
O1000125,X0,Y3
O1000126,X3,Y0
O1000127,X3,Y2
O1000128,X3,Y0
O1000129,X0,Y2
O1000130,X0,Y0
O1000131,X0,Y0
O1000132,X0,Y0
O1000133,X2,Y0
O1000134,X2,Y1
O1000135,X2,Y1
O1000136,X2,Y1
O1000137,X2,Y1
O1000138,X2,Y3
O1000139,X2,Y1
O1000140,X2,Y2
O1000141,X2,Y0
O1000142,X1,Y0
O1000143,X1,Y0
O1000144,X1,Y2
O1000145,X1,Y2
O1000146,X1,Y0
O1000147,X1,Y3
O1000148,X0,Y2
O1000149,X1,Y2
O1000150,X3,Y3
O1000151,X3,Y1
O1000152,X3,Y1
O1000153,X3,Y3
O1000154,X3,Y0
O1000155,X3,Y3
O1000156,X3,Y0
O1000157,X3,Y3
O1000158,X3,Y0
O1000159,X3,Y1
O1000160,X3,Y2
O1000161,X3,Y1
O1000162,X1,Y0
O1000163,X1,Y0
O1000164,X1,Y1
O1000165,X1,Y1
O1000166,X1,Y3
O1000167,X2,Y1
O1000168,X2,Y3
O1000169,X2,Y1
O1000170,X3,Y0
O1000171,X1,Y2
O1000172,X1,Y2
O1000173,X1,Y0
O1000174,X0,Y1
O1000175,X0,Y2
O1000176,X0,Y0
O1000177,X0,Y0
O1000178,X3,Y0
O1000179,X3,Y2
O1000180,X3,Y3
O1000181,X3,Y3
O1000182,X3,Y2
O1000183,X3,Y3
O1000184,X3,Y2
O1000185,X2,Y1
O1000186,X0,Y0
O1000187,X1,Y0
O1000188,X1,Y3
O1000189,X1,Y0
O1000190,X1,Y2
O1000191,X1,Y0
O1000192,X1,Y0
O1000193,X1,Y2
O1000194,X2,Y1
O1000195,X2,Y0
O1000196,X2,Y1
O1000197,X2,Y1
O1000198,X2,Y3
O1000199,X3,Y3
O1000200,X1,Y3
O1000201,X0,Y1
O1000202,X0,Y1
O1000203,X0,Y1
O1000204,X0,Y1
O1000205,X0,Y2
O1000206,X0,Y2
O1000207,X2,Y2
O1000208,X3,Y2
O1000209,X2,Y0
O1000210,X2,Y3
O1000211,X3,Y3
O1000212,X3,Y1
O1000213,X2,Y2
O1000214,X2,Y3
O1000215,X3,Y3
O1000216,X0,Y3
O1000217,X0,Y1
O1000218,X1,Y0
O1000219,X0,Y0
O1000220,X1,Y0
O1000221,X1,Y3
O1000222,X0,Y0
O1000223,X2,Y2
O1000224,X1,Y0
O1000225,X2,Y1
O1000226,X2,Y0
O1000227,X2,Y0
O1000228,X3,Y1
O1000229,X3,Y3
O1000230,X3,Y1
O1000231,X3,Y3
O1000232,X3,Y1
O1000233,X3,Y2
O1000234,X0,Y3
O1000235,X3,Y1
O1000236,X3,Y1
O1000237,X0,Y0
O1000238,X3,Y0
O1000239,X2,Y0
O1000240,X2,Y2
O1000241,X2,Y2
O1000242,X1,Y3
O1000243,X0,Y3
O1000244,X0,Y3
O1000245,X1,Y1
O1000246,X1,Y2
O1000247,X1,Y1
O1000248,X1,Y1
O1000249,X3,Y2
O1000250,X1,Y2
O1000251,X0,Y2
O1000252,X1,Y0
O1000253,X0,Y1
O1000254,X1,Y1
O1000255,X0,Y1
O1000256,X0,Y0
O1000257,X3,Y1
O1000258,X3,Y1
O1000259,X2,Y3
O1000260,X2,Y1
O1000261,X3,Y2
O1000262,X3,Y0
O1000263,X3,Y0
O1000264,X3,Y0
O1000265,X1,Y3
O1000266,X1,Y2
O1000267,X1,Y1
O1000268,X2,Y2
O1000269,X0,Y0
O1000270,X1,Y0
O1000271,X0,Y0
O1000272,X2,Y3
O1000273,X1,Y3
O1000274,X2,Y2
O1000275,X1,Y1
O1000276,X0,Y1
O1000277,X1,Y0
O1000278,X0,Y3
O1000279,X1,Y0
O1000280,X3,Y2
O1000281,X3,Y2
O1000282,X0,Y2
O1000283,X3,Y0
O1000284,X0,Y0
O1000285,X3,Y0
O1000286,X2,Y2
O1000287,X3,Y2
O1000288,X2,Y3
O1000289,X3,Y2
O1000290,X3,Y0
O1000291,X2,Y0
O1000292,X3,Y3
O1000293,X1,Y1
O1000294,X0,Y1
O1000295,X2,Y1
O1000296,X1,Y0
O1000297,X2,Y0
O1000298,X1,Y0
O1000299,X0,Y1
O1000300,X1,Y1
O1000301,X0,Y2
O1000302,X2,Y2
O1000303,X1,Y0
O1000304,X2,Y0
O1000305,X1,Y0
O1000306,X0,Y0
O1000307,X1,Y0
O1000308,X0,Y1
O1000309,X1,Y1
O1000310,X1,Y1
O1000311,X0,Y3
O1000312,X0,Y3
O1000313,X3,Y1
O1000314,X2,Y3
