O10000,X0,Y0,P1,Q1
O10001,X1,Y0,P0,Q0
O10002,X0,Y1,P0,Q1
O10003,X0,Y1,P1,Q0
O10004,X1,Y1,P0,Q1
O10005,X0,Y1,P1,Q0
O10006,X0,Y1,P0,Q0
O10007,X0,Y0,P1,Q0
O10008,X0,Y0,P1,Q0
O10009,X0,Y0,P0,Q1
O100010,X0,Y0,P0,Q1
O100011,X1,Y0,P0,Q0
O100012,X0,Y0,P1,Q0
O100013,X0,Y1,P1,Q1
O100014,X1,Y1,P1,Q0
O100015,X0,Y0,P1,Q0
O100016,X0,Y1,P1,Q1
O100017,X1,Y1,P0,Q0
O100018,X1,Y0,P0,Q1
O100019,X0,Y1,P1,Q1
O100020,X1,Y1,P0,Q0
O100021,X1,Y0,P1,Q1
O100022,X1,Y1,P0,Q0
O100023,X1,Y0,P0,Q0
O100024,X0,Y1,P0,Q1
O100025,X1,Y0,P0,Q1
O100026,X0,Y0,P0,Q0
O100027,X0,Y0,P0,Q1
O100028,X0,Y1,P1,Q1
O100029,X1,Y0,P1,Q0
O100030,X0,Y1,P1,Q0
O100031,X1,Y1,P0,Q1
O100032,X1,Y1,P1,Q1
O100033,X0,Y1,P1,Q1
O100034,X0,Y1,P1,Q0
O100035,X0,Y0,P1,Q1
O100036,X1,Y0,P0,Q0
O100037,X1,Y1,P1,Q1
O100038,X1,Y0,P0,Q0
O100039,X0,Y0,P0,Q1
O100040,X1,Y0,P0,Q0
O100041,X0,Y0,P1,Q0
O100042,X0,Y1,P1,Q0
O100043,X0,Y0,P1,Q0
O100044,X0,Y0,P0,Q0
O100045,X1,Y1,P1,Q0
O100046,X1,Y1,P0,Q1
O100047,X1,Y1,P0,Q0
O100048,X0,Y1,P0,Q0
O100049,X0,Y0,P1,Q1
O100050,X0,Y1,P0,Q0
O100051,X1,Y0,P1,Q0
O100052,X0,Y0,P0,Q1
O100053,X0,Y0,P0,Q0
O100054,X0,Y0,P1,Q1
O100055,X0,Y0,P1,Q1
O100056,X1,Y0,P0,Q1
O100057,X1,Y0,P0,Q0
O100058,X1,Y1,P1,Q0
O100059,X1,Y1,P0,Q0
O100060,X0,Y0,P1,Q0
O100061,X0,Y1,P0,Q1
O100062,X1,Y1,P1,Q1
O100063,X0,Y1,P0,Q1
O100064,X1,Y0,P1,Q0
O100065,X1,Y1,P1,Q0
O100066,X1,Y0,P0,Q0
O100067,X0,Y0,P1,Q1
O100068,X0,Y0,P0,Q0
O100069,X1,Y1,P1,Q1
O100070,X0,Y0,P0,Q1
O100071,X0,Y1,P1,Q1
O100072,X1,Y0,P0,Q0
O100073,X1,Y1,P1,Q1
O100074,X0,Y0,P0,Q1
O100075,X0,Y0,P1,Q0
O100076,X0,Y1,P0,Q1
O100077,X1,Y1,P1,Q0
O100078,X1,Y1,P0,Q0
O100079,X1,Y1,P1,Q1
O100080,X1,Y0,P1,Q1
O100081,X1,Y1,P1,Q0
O100082,X0,Y0,P0,Q0
