S10000,A1,B1,C0,D1,E3
S10001,A1,B1,C3,D0,E0
S10002,A0,B3,C1,D3,E3
S10003,A0,B1,C3,D2,E3
S10004,A1,B3,C3,D0,E1
S10005,A0,B1,C2,D2,E3
S10006,A1,B3,C0,D1,E3
S10007,A1,B1,C0,D2,E2
S10008,A0,B3,C3,D1,E0
S10009,A1,B1,C0,D0,E2
S100010,A3,B3,C2,D2,E1
S100011,A0,B1,C0,D1,E0
S100012,A0,B3,C0,D2,E3
S100013,A3,B1,C3,D1,E2
S100014,A0,B2,C1,D3,E0
S100015,A0,B0,C1,D2,E0
S100016,A1,B2,C3,D0,E3
S100017,A1,B3,C3,D2,E1
S100018,A3,B2,C3,D1,E3
S100019,A0,B2,C0,D0,E0
S100020,A0,B2,C2,D2,E2
S100021,A1,B3,C2,D0,E2
S100022,A3,B2,C0,D2,E0
S100023,A2,B2,C2,D0,E0
S100024,A3,B0,C0,D2,E0
S100025,A3,B2,C3,D1,E3
S100026,A0,B2,C2,D3,E2
S100027,A3,B0,C2,D2,E1
S100028,A3,B0,C1,D3,E3
S100029,A2,B0,C2,D2,E1
S100030,A3,B2,C2,D0,E1
S100031,A2,B3,C3,D2,E3
S100032,A3,B0,C1,D0,E0
S100033,A2,B0,C3,D3,E1
S100034,A3,B3,C0,D1,E0
S100035,A3,B1,C1,D0,E0
S100036,A2,B2,C1,D2,E2
S100037,A3,B1,C3,D0,E3
S100038,A3,B3,C3,D3,E0
S100039,A2,B2,C3,D0,E1
S100040,A3,B1,C3,D3,E1
S100041,A3,B2,C0,D2,E1
S100042,A1,B3,C2,D0,E1
S100043,A2,B1,C2,D2,E0
S100044,A2,B3,C2,D0,E0
S100045,A3,B3,C0,D2,E2
S100046,A1,B1,C0,D1,E2
S100047,A3,B1,C0,D3,E3
S100048,A1,B3,C0,D1,E1
S100049,A2,B0,C2,D3,E1
S100050,A2,B2,C2,D1,E3
S100051,A3,B3,C0,D0,E3
S100052,A1,B2,C3,D2,E1
S100053,A2,B3,C1,D0,E2
S100054,A1,B3,C1,D3,E0
S100055,A1,B1,C0,D1,E2
S100056,A1,B3,C1,D3,E2
S100057,A2,B2,C3,D2,E0
S100058,A0,B0,C3,D0,E1
S100059,A1,B1,C1,D2,E3
S100060,A1,B2,C1,D1,E3
S100061,A2,B0,C2,D2,E1
S100062,A0,B2,C0,D1,E3
S100063,A0,B2,C0,D3,E2
S100064,A1,B0,C0,D2,E0
S100065,A0,B2,C0,D0,E2
S100066,A0,B0,C2,D2,E2
S100067,A0,B2,C1,D1,E1
S100068,A1,B1,C3,D2,E1
S100069,A3,B0,C2,D1,E3
S100070,A2,B0,C3,D3,E3
S100071,A3,B0,C3,D2,E3
S100072,A0,B2,C0,D0,E1
S100073,A0,B1,C1,D1,E2
S100074,A1,B3,C1,D0,E3
S100075,A0,B1,C3,D3,E3
S100076,A0,B3,C3,D0,E2
S100077,A0,B3,C1,D3,E2
S100078,A1,B1,C1,D1,E0
S100079,A3,B0,C3,D3,E0
S100080,A3,B0,C1,D2,E1
S100081,A0,B3,C3,D3,E3
S100082,A0,B1,C2,D2,E3
S100083,A0,B3,C0,D0,E1
S100084,A2,B0,C2,D2,E1
S100085,A3,B1,C2,D0,E0
S100086,A3,B3,C0,D3,E0
S100087,A0,B1,C3,D2,E1
S100088,A0,B2,C0,D0,E1
S100089,A0,B0,C3,D1,E2
S100090,A3,B1,C1,D0,E0
S100091,A3,B0,C1,D2,E1
S100092,A3,B1,C2,D0,E3
S100093,A0,B0,C0,D2,E0
S100094,A2,B2,C0,D0,E1
S100095,A3,B3,C1,D3,E2
S100096,A3,B0,C1,D1,E2
S100097,A2,B0,C1,D3,E3
S100098,A3,B2,C1,D2,E1
S100099,A2,B0,C3,D0,E1
S1000100,A2,B0,C3,D2,E3
S1000101,A0,B0,C2,D0,E1
S1000102,A1,B0,C0,D3,E2
S1000103,A3,B2,C3,D1,E0
S1000104,A2,B0,C1,D3,E0
S1000105,A3,B2,C3,D1,E3
S1000106,A1,B0,C3,D3,E2
S1000107,A2,B2,C1,D2,E1
S1000108,A2,B1,C0,D0,E1
S1000109,A3,B2,C2,D2,E3
S1000110,A1,B1,C0,D1,E0
S1000111,A2,B3,C3,D3,E2
S1000112,A2,B0,C1,D1,E1
S1000113,A3,B2,C1,D3,E0
S1000114,A3,B3,C1,D2,E3
S1000115,A1,B2,C3,D1,E0
S1000116,A1,B1,C3,D3,E1
S1000117,A2,B3,C1,D1,E3
S1000118,A1,B3,C0,D3,E2
S1000119,A1,B3,C0,D1,E2
S1000120,A2,B1,C1,D2,E2
S1000121,A0,B2,C2,D0,E2
S1000122,A1,B3,C1,D3,E3
S1000123,A0,B1,C2,D2,E1
S1000124,A1,B2,C1,D1,E1
S1000125,A0,B2,C1,D0,E0
S1000126,A1,B2,C0,D2,E0
S1000127,A1,B0,C2,D3,E2
S1000128,A0,B2,C1,D1,E3
S1000129,A3,B1,C2,D0,E0
S1000130,A2,B1,C0,D3,E0
S1000131,A0,B1,C3,D2,E3
S1000132,A2,B1,C1,D1,E2
S1000133,A0,B1,C0,D3,E2
S1000134,A2,B1,C1,D2,E2
S1000135,A2,B2,C1,D0,E1
S1000136,A3,B1,C2,D3,E3
S1000137,A2,B2,C3,D2,E3
S1000138,A1,B2,C3,D0,E2
S1000139,A0,B2,C2,D0,E3
S1000140,A2,B0,C0,D3,E1
S1000141,A1,B0,C0,D0,E0
S1000142,A2,B2,C0,D3,E0
S1000143,A1,B3,C3,D2,E0
S1000144,A0,B3,C1,D1,E3
S1000145,A1,B1,C3,D3,E1
S1000146,A0,B3,C2,D2,E2
S1000147,A3,B1,C2,D1,E0
S1000148,A3,B0,C2,D0,E1
S1000149,A3,B0,C0,D2,E3
S1000150,A2,B2,C1,D1,E1
S1000151,A1,B0,C0,D0,E2
S1000152,A3,B0,C3,D2,E1
S1000153,A2,B0,C2,D1,E1
S1000154,A0,B3,C2,D0,E3
S1000155,A3,B1,C1,D2,E0
S1000156,A2,B1,C1,D2,E3
S1000157,A2,B3,C1,D3,E0
S1000158,A1,B3,C0,D3,E1
S1000159,A1,B1,C3,D2,E0
S1000160,A0,B3,C0,D1,E0
S1000161,A1,B0,C2,D3,E3
S1000162,A0,B0,C1,D2,E1
S1000163,A1,B0,C3,D0,E2
S1000164,A1,B0,C2,D3,E1
S1000165,A3,B0,C3,D1,E1
S1000166,A1,B1,C0,D0,E3
S1000167,A0,B1,C3,D3,E3
S1000168,A0,B1,C3,D2,E2
S1000169,A3,B3,C3,D1,E1
S1000170,A0,B3,C2,D0,E1
S1000171,A3,B2,C1,D3,E0
S1000172,A3,B0,C3,D2,E1
S1000173,A3,B3,C0,D0,E3
S1000174,A3,B0,C3,D2,E2
S1000175,A2,B0,C1,D2,E2
S1000176,A2,B0,C0,D0,E3
S1000177,A2,B0,C2,D3,E0
